,company_name,company_type,employess,startup_type,years,location,salary_benefit,company_culture,skill_development,work_life_balance,job_security
0,Udaan,Internet , 1k-5k Employees , Indian Unicorn , 7 years old , Bangalore +328 more,True,False,False,False,False
1,Oyo Rooms,Hospitality , 1k-5k Employees , Indian Unicorn , 10 years old , Gurgaon +109 more,True,False,False,False,False
2,Swiggy,Internet , 5k-10k Employees , Indian Unicorn , 9 years old , Bangalore +155 more,True,False,False,False,False
3,Whitehat jr,EdTech , 5k-10k Employees , Startup , 5 years old , Mumbai +47 more,True,False,False,False,False
4,CARS24,Internet , 5k-10k Employees , Indian Unicorn , 8 years old , Gurgaon +138 more,True,False,False,False,False
5,CMS IT Services,IT Services & Consulting , 5k-10k Employees , Startup , 9 years old , Bangalore +135 more,True,False,False,False,False
6,BlackBuck,Logistics , 501-1k Employees , Indian Unicorn , 8 years old , Bangalore +269 more,True,False,False,False,False
7,Rivigo,Internet , 1k-5k Employees , Indian Unicorn , 9 years old , Gurgaon +147 more,True,False,False,False,False
8,ElasticRun,Logistics , 1k-5k Employees , Indian Unicorn , 7 years old , Pune +299 more,True,False,False,False,False
9,XpressBees,Logistics , 1k-5k Employees , Indian Unicorn , 8 years old , Pune +196 more,True,False,False,False,False
10,Blinkit,Internet , 1k-5k Employees , Indian Unicorn , 10 years old , Gurgaon +56 more,True,False,False,False,False
11,Ninjacart,Logistics , 1k-5k Employees , Startup , 8 years old , Bangalore +85 more,True,False,False,False,False
12,UpGrad,EdTech , 1k-5k Employees , Indian Unicorn , 8 years old , San Francisco +33 more,True,False,False,False,False
13,Unacademy,EdTech , 1k-5k Employees , Indian Unicorn , 8 years old , Bangalore +44 more,True,False,False,False,False
14,NoBroker,Internet , 1k-5k Employees , Indian Unicorn , 9 years old , Bangalore +27 more,True,False,False,False,False
15,PhonePe,FinTech , 501-1k Employees , Indian Unicorn , 8 years old , Bangalore +171 more,True,False,False,False,False
16,Intellect Design Arena,FinTech , 1k-5k Employees , Public , 9 years old , Chennai +23 more,True,False,False,False,False
17,Meesho,Internet , 1k-5k Employees , Indian Unicorn , 8 years old , Bangalore +75 more,True,False,False,False,False
18,KFintech,FinTech , 5k-10k Employees , Startup , 6 years old , Hyderabad +56 more,True,False,False,False,False
19,Planet Spark,EdTech , 51-200 Employees , Startup , 6 years old , Gurgaon +27 more,True,False,False,False,False
20,Paisabazaar.com,FinTech , 1k-5k Employees , Startup , 9 years old , Gurgaon/Gurugram +12 more,True,False,False,False,False
21,Aye Finance,FinTech , 1k-5k Employees , Startup , 10 years old , Delhi +211 more,True,False,False,False,False
22,SYSKA LED Lights,Consumer Electronics & Appliances , 1k-5k Employees (Global) , Startup , 11 years old , Pune +137 more,True,False,False,False,False
23,FastInfo,EdTech , 501-1k Employees , Startup , 4 years old , Kolkata +7 more,True,False,False,False,False
24,Shadowfax Technologies,Logistics , 1k-5k Employees , Public , 8 years old , Bangalore +125 more,True,False,False,False,False
25,Ola Electric Mobility,Internet , 1k-5k Employees , Indian Unicorn , 6 years old , Bangalore +98 more,True,False,False,False,False
26,PharmEasy,Internet , 1k-5k Employees , Indian Unicorn , 8 years old , Mumbai +49 more,True,False,False,False,False
27,Wheelseye Technology,Logistics , 11-50 Employees , Startup , 6 years old , Gurgaon +142 more,True,False,False,False,False
28,Paytm Payments Bank,FinTech , 1k-5k Employees , Public , 7 years old , Noida +96 more,True,False,False,False,False
29,LivSpace,Architecture & Interior Design , 1k-5k Employees , Indian Unicorn , 8 years old , Bangalore +31 more,True,False,False,False,False
30,Spinny,Internet , 1k-5k Employees , Indian Unicorn , 8 years old , Gurgaon +34 more,True,False,False,False,False
31,Urban Company,Internet , 1k-5k Employees , Indian Unicorn , 8 years old , Gurgaon +43 more,True,False,False,False,False
32,Toppr,EdTech , 1k-5k Employees , Startup , 10 years old , Mumbai +43 more,True,False,False,False,False
33,iMerit,Software Product , 1k-5k Employees , Startup , 11 years old , Kolkata +9 more,True,False,False,False,False
34,Better.com,Financial Services , 201-500 Employees , Startup , 7 years old , New York City +4 more,True,False,False,False,False
35,Vertiv,IT Services & Consulting , 51-200 Employees (Global) , Startup , 7 years old , Columbus +45 more,True,False,False,False,False
36,Skill Lync,EdTech , 201-500 Employees , Startup , 8 years old , Palo Alto +11 more,True,False,False,False,False
37,Medlife,Internet , 1k-5k Employees , Startup , 9 years old , Bangalore +29 more,True,False,False,False,False
38,Rupeek,FinTech , 1k-5k Employees , Startup , 8 years old , Bangalore +53 more,True,False,False,False,False
39,Pristyn Care,Healthcare , 1k-5k Employees , Indian Unicorn , 5 years old , Delhi +23 more,True,False,False,False,False
40,LEAD School,EdTech , 1k-5k Employees , Indian Unicorn , 10 years old , Mumbai +62 more,True,False,False,False,False
41,Cult.fit,Internet , 1k-5k Employees , Indian Unicorn , 7 years old , Bangalore +33 more,True,False,False,False,False
42,Dunzo,Internet , 1k-5k Employees , Startup , 9 years old , Bangalore +16 more,True,False,False,False,False
43,Stanza Living,Internet , 501-1k Employees , Startup , 6 years old , Delhi +23 more,True,False,False,False,False
44,NoBrokerHOOD,Software Product , 501-1k Employees , Startup , Bengaluru/Bangalore +23 more,,True,False,False,False,False
45,Rebel Foods,Internet , 5k-10k Employees , Indian Unicorn , 11 years old , Mumbai +49 more,True,False,False,False,False
46,HomeLane,Architecture & Interior Design , 501-1k Employees , Startup , 9 years old , Bangalore +26 more,True,False,False,False,False
47,Quantiphi Analytics Solutions,IT Services & Consulting , 1k-5k Employees , Startup , 10 years old , Mumbai +8 more,True,False,False,False,False
48,uFaber,Education & Training , 1k-5k Employees , Startup , 10 years old , Mumbai +14 more,True,False,False,False,False
49,Samunnati Financial Intermediation and Services,Financial Services , 501-1k Employees , Startup , 9 years old , Chennai +48 more,True,False,False,False,False
50,Digit Insurance,Financial Services , 1k-5k Employees , Fortune India 500 , 7 years old , Bangalore +51 more,True,False,False,False,False
51,Housing.com,Internet , 1k-5k Employees , Startup , 11 years old , Gurgaon +28 more,True,False,False,False,False
52,Embibe,EdTech , 1k-5k Employees , Startup , 11 years old , Bangalore +14 more,True,False,False,False,False
53,Tracxn,IT Services & Consulting , 501-1k Employees , Startup , 10 years old , Bangalore +6 more,True,False,False,False,False
54,ShareChat,Internet , 1k-5k Employees , Indian Unicorn , 8 years old , Bangalore +25 more,True,False,False,False,False
55,Infra.Market,Building Material , 1k-5k Employees , Indian Unicorn , 7 years old , Thane +49 more,True,False,False,False,False
56,Spoton Logistics,Logistics , 1k-5k Employees , Startup , 11 years old , Bangalore +70 more,True,False,False,False,False
57,Clarivate,Analytics & KPO , 1k-5k Employees , Public , 7 years old , Philadelphia +10 more,True,False,False,False,False
58,Finastra,IT Services & Consulting , 1k-5k Employees , Startup , 6 years old , Paddington +12 more,True,False,False,False,False
59,Agrostar,Internet , 1k-5k Employees , Startup , 10 years old , Pune +26 more,True,False,False,False,False
60,Cuemath,EdTech , 1k-5k Employees , Startup , 10 years old , Bangalore +17 more,True,False,False,False,False
61,CIEL HR,Recruitment , 501-1k Employees , Startup , 8 years old , Bangalore +58 more,True,False,False,False,False
62,Zetwerk Manufacturing Businesses,Iron & Steel , 1k-5k Employees , Indian Unicorn , 5 years old , Bangalore +52 more,True,False,False,False,False
63,DealShare,Internet , 1k-5k Employees , Indian Unicorn , 5 years old , Jaipur +39 more,True,False,False,False,False
64,Kissht Finance,FinTech , 51-200 Employees , Startup , 8 years old , Mumbai +54 more,True,False,False,False,False
65,Testbook.com,EdTech , 501-1k Employees , Startup , 9 years old , Mumbai +17 more,True,False,False,False,False
